facility_id,organisation_name,facility_name,province,city,address,postal_code,npri_id,2011_ghg_emissions_kilotonnes_of_carbon_dioxide_equivalent,facility_ghg_data_link,naics_name,naics_data_link,latitude,longitude
3,Foothills Pipe Lines Ltd.,"Foothills Pipeline, Alberta",Alberta,Airdrie,SW-19-028-26-W4,T4A2G7,,261.47,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10003,Pipeline Transportation of Natural Gas,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=486210,0.00000000,0.00000000
6,Agrium Inc.,Redwater Fertilizer Operations,Alberta,Redwater,16 km east of Gibbons on Hwy 643,T0A2W0,2134,1185.01,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10006,Chemical Fertilizer (except Potash) Manufacturing,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=325313,53.84160000,-113.09790000
7,Alberta Envirofuels,Alberta Envirofuels,Alberta,Edmonton,9511 17th Street,T6P1Y3,3974,239.84,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10007,Other Basic Organic Chemical Manufacturing,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=325190,53.53199300,-113.36492500
8,Alliance Pipeline Ltd.,Alliance Pipeline Ltd. - AB Pipeline System,Alberta,Calgary,800 605 5th Avenue Southwest,T2P3H5,,545.28,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10008,Pipeline Transportation of Natural Gas,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=486210,0.00000000,0.00000000
9,Alberta-Pacific Forest Industries Inc.,Alberta-Pacific Forest Industries Inc.,Alberta,County of Athabasca,SW-32-068-19-W4,T0A0M0,1,120.03,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10009,Chemical Pulp Mills,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=322112,54.92311600,-112.86186700
15,ATCO Gas and Pipelines Ltd.,ATCO Pipelines,Alberta,Edmonton,7210 42 Street Northwest,T6B3H1,,158.13,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10015,Pipeline Transportation of Natural Gas,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=486210,0.00000000,0.00000000
17,Nexen Inc.,Balzac Gas Plant,Alberta,Balzac,10-02-026-29-W4,T0M0E0,1902,64.03,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10017,Conventional Oil and Gas Extraction,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=211113,51.19130000,-113.94090000
18,Alberta Power (2000) Ltd.,Battle River Generating Station,Alberta,Forestburg,Box 498; SW1/4-29-040-15-W4,T0B1N0,1033,5146.00,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10018,Fossil-Fuel Electric Power Generation,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221112,52.56470000,-112.14140000
29,Blaze Energy Ltd.,Brazeau Gas Plant,Alberta,Drayton Valley,04-31-048-12-W5,T7A1P8,3749,134.12,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10029,Conventional Oil and Gas Extraction,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=211113,53.18120000,-115.76250000
30,Keyera Corp,Brazeau River Gas Plant,Alberta,Drayton Valley,03-12-046-14-W5M,T7A1S5,1362,67.02,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10030,Conventional Oil and Gas Extraction,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=211113,52.95930000,-115.89380000
